ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
UCA11,0.0551181102362204,0.0629921259842519,0.0,0.1929133858267716,0.0866141732283464,0.0,0.1141732283464567,0.0354330708661417,0.1456692913385826,0.1771653543307086,0.0354330708661417,0.0039370078740157,0.0,0,0.0,0.0
BOD01,0.032258064516129,0.075268817204301,0.0,0.2419354838709677,0.0376344086021505,0.0,0.0967741935483871,0.0483870967741935,0.1774193548387097,0.1666666666666666,0.021505376344086,0.010752688172043,0.0053763440860215,0,0.0,0.0
ALS10,0.040983606557377,0.081967213114754,0.0,0.151639344262295,0.1352459016393442,0.0204918032786885,0.1188524590163934,0.0491803278688524,0.1270491803278688,0.1270491803278688,0.0204918032786885,0.0163934426229508,0.0,0,0.0,0.0
ALS11,0.0408163265306122,0.0448979591836734,0.0040816326530612,0.1428571428571428,0.1306122448979592,0.0122448979591836,0.1265306122448979,0.0326530612244898,0.1306122448979592,0.1346938775510204,0.0326530612244898,0.0285714285714285,0.0,0,0.0,0.0
BOD07,0.03690036900369,0.077490774907749,0.0,0.1512915129151291,0.1402214022140221,0.0,0.0996309963099631,0.018450184501845,0.1328413284132841,0.1217712177121771,0.051660516605166,0.018450184501845,0.011070110701107,0,0.0,0.033210332103321
SPC04,0.0181818181818181,0.059090909090909,0.0,0.1545454545454545,0.15,0.0136363636363636,0.1409090909090909,0.0363636363636363,0.1227272727272727,0.109090909090909,0.0409090909090909,0.0181818181818181,0.0045454545454545,0,0.0,0.0
HES08,0.0764331210191082,0.0636942675159235,0.0,0.1783439490445859,0.0987261146496815,0.0,0.1050955414012738,0.0445859872611464,0.1305732484076433,0.1242038216560509,0.0318471337579617,0.019108280254777,0.0095541401273885,0,0.0,0.0063694267515923
LDV09,0.0220588235294117,0.0661764705882353,0.0147058823529411,0.1985294117647058,0.0808823529411764,0.0294117647058823,0.1176470588235294,0.0073529411764705,0.1397058823529411,0.1838235294117647,0.0294117647058823,0.0,0.0,0,0.0,0.0
LYO11,0.0444444444444444,0.0755555555555555,0.0088888888888888,0.2,0.08,0.0222222222222222,0.0933333333333333,0.0355555555555555,0.1333333333333333,0.1288888888888889,0.0266666666666666,0.0311111111111111,0.0044444444444444,0,0.0,0.0
LOR08,0.0483870967741935,0.075268817204301,0.0,0.1612903225806451,0.1290322580645161,0.0,0.075268817204301,0.086021505376344,0.1344086021505376,0.0967741935483871,0.032258064516129,0.0268817204301075,0.010752688172043,0,0.0053763440860215,0.0
