ID,cognition,perspicacité,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion
LYO01,19.46,3.47,4.24,1.35,2.31,1.16,0.96,11.75,2.31
LOR03,25.04,4.47,6.62,2.15,1.97,4.47,1.25,8.41,4.11
BOD11,20.57,3.94,2.63,2.63,2.84,1.09,1.97,12.04,2.63
BOD04,21.97,4.93,2.05,2.67,2.46,2.67,0.41,10.47,4.31
LOR02,15.63,3.33,1.88,1.46,1.46,0.83,0.63,8.75,2.08
SOU07,20.17,4.1,2.91,2.05,3.08,1.71,0.51,8.89,3.59
SOU13,19.76,2.6,5.2,2.95,2.95,1.56,0.87,9.19,4.85
UCA05,17.15,2.34,3.51,1.17,1.75,1.36,2.34,9.16,1.56
UCA11,25.43,4.62,5.2,0.96,2.12,3.08,2.12,13.29,3.28
ALS10,18.63,3.59,2.91,1.54,0.51,1.2,0.68,12.48,3.42
ALS04,17.79,3.95,1.32,2.47,1.48,1.81,0.66,8.9,3.62
LRE02,17.16,3.17,4.48,2.99,1.31,0.75,0.75,7.84,4.85
UCA07,19.25,3.17,1.39,1.79,2.78,3.17,0.0,10.32,2.38
LYO02,28.85,5.19,4.42,2.69,3.27,3.46,0.38,13.08,3.46
BOD12,18.83,1.55,5.53,1.38,1.21,1.21,1.04,10.71,4.49
BOD07,22.84,3.13,2.39,3.13,1.29,1.47,0.55,13.08,4.6
HES08,26.17,6.5,2.71,2.35,2.89,2.53,0.36,8.66,4.15
SOU10,25.04,6.83,4.03,1.75,2.45,2.63,0.53,13.13,2.98
PES03,17.51,2.21,3.02,1.61,1.81,2.21,0.6,9.46,1.61
CFE09,18.05,1.84,2.39,2.58,2.21,1.29,1.1,9.21,2.58
SEN02,20.74,2.28,2.28,2.46,3.16,2.64,0.7,9.31,4.22
GRE01,20.25,3.93,3.72,1.45,1.24,3.1,0.83,10.95,1.86
GRE03,24.21,5.13,3.18,1.96,1.47,2.93,1.22,13.2,4.4
SEN01,16.84,1.68,2.74,2.74,2.11,2.53,0.21,7.37,2.74
BFC09,22.87,2.7,4.37,3.12,1.87,2.7,1.25,10.4,4.37
SPC05,17.84,3.06,1.98,2.88,1.8,1.8,1.44,8.47,3.6
SPC04,19.72,2.99,3.17,1.41,1.58,2.64,0.7,11.97,1.41
OCM14,25.94,3.95,3.01,1.5,3.95,3.76,0.75,10.71,6.2
UPL02,21.99,3.61,2.75,2.41,2.06,3.09,0.17,11.0,3.78
NOR05,19.19,1.92,5.37,1.15,1.34,1.92,1.92,13.05,2.11
OCM10,19.96,2.49,2.29,1.66,2.08,2.91,0.62,11.85,2.7
CVL03,16.36,2.07,1.86,1.24,2.28,1.86,0.83,9.52,0.83
CVL02,22.47,2.96,4.18,1.39,2.26,2.96,0.35,10.63,2.61
OCM11,16.74,2.33,1.63,0.93,1.16,0.93,0.7,9.53,3.26
NOR04,23.49,4.42,3.49,1.4,2.79,2.33,0.93,10.7,3.26
NOR10,17.45,2.59,2.12,0.71,2.59,1.89,1.42,7.78,1.42
GRE13,22.32,2.95,3.51,2.03,2.21,4.24,0.74,8.3,2.03
GRE07,18.34,1.89,4.91,0.57,1.51,2.08,2.46,10.96,1.51
NOR12,15.49,2.47,2.47,1.81,1.81,0.82,0.16,8.9,2.31
OCM07,21.3,2.99,4.4,1.58,1.76,3.17,1.23,10.92,3.17
OCM13,16.71,2.74,3.29,0.55,3.01,1.92,0.55,8.49,0.55
SPC03,26.0,2.81,4.22,1.64,2.34,3.04,1.64,12.18,2.58
UPS10,18.01,2.37,3.0,1.58,2.21,2.05,0.47,12.16,2.53
UPS04,25.5,3.59,3.59,1.59,2.79,2.39,0.8,11.16,1.59
CVL01,20.05,4.28,2.03,3.15,1.35,0.9,0.0,11.26,4.73
