Lexical_Feature,Criterion,Spearman_Coefficient,p_value
Nominal,La conclusion,-0.09421894825732917,0.3770676890455791
Imperative,Structure,-0.10125054496182072,0.3423342711599302
Nominal,Structure,-0.10762482745548606,0.312647265703546
Exclamatory,Redondance,-0.10769632253020535,0.31232404046083345
Imperative,Niveau de Langue,-0.11147654556327204,0.29554216448494003
Nominal,Global,-0.11592007384465522,0.2765885678369566
Passive,Présentation du Sujet,-0.1192590905836966,0.26289403779670956
Declarative,Concision,-0.1233852539808051,0.24661666783141625
Nominal,Clarté du Langage,-0.12567502079864712,0.23788955794885502
Relative,Langage Négatif,-0.13088394353071364,0.21884139171597447
Cleft,Voix Passive,-0.13184318695518327,0.21545445518910838
Cleft,Présentation du Sujet,-0.14018293219676783,0.1875639561134105
Cleft,Clarté du Langage,-0.14296042718580468,0.17888394446800257
Nominal,Persuasivité,-0.14419231590880927,0.17512959256084262
Imperative,L'introduction,-0.1456899719846248,0.1706435130372868
Cleft,Structure,-0.14848346246639182,0.16250295815511276
Nominal,Langage Négatif,-0.15697825203382285,0.1395183993609653
Nominal,Métaphore,-0.1618466297978846,0.12750471393672164
Imperative,Métaphore,-0.16187022355890013,0.1274484823418617
Cleft,Redondance,-0.16474403487150394,0.12074002335345557
Cleft,L'introduction,-0.17098829970780152,0.10710274775916301
Imperative,Créativité du discours,-0.17485479236898022,0.09927968522019541
Cleft,Créativité du discours,-0.17549919473118034,0.09802058624061841
Relative,Créativité du discours,-0.17855298136857028,0.09222343253087496
Interrogative,Métaphore,-0.1811234817115631,0.0875565174393838
Nominal,Niveau de Langue,-0.19263950711592592,0.06890054805664166
Cleft,Langage Négatif,-0.19725255576261705,0.062392259707862587
Cleft,Global,-0.20525316372586352,0.052294707903301235
Imperative,La conclusion,-0.21527128875020446,0.041584744308723234
Cleft,Persuasivité,-0.24269515500447833,0.021177916631314388
Cleft,Discours,-0.2524106804247055,0.016390322284366456
Cleft,La conclusion,-0.25391663204669773,0.015738985370593043
Passive,Voix Passive,0.0017177911801564698,0.9871796573311586
Exclamatory,Persuasivité,0.0019056527739709115,0.9857777339336509
Declarative,Redondance,0.0086936881992417,0.9351841220750369
Declarative,L'introduction,0.009242686898771378,0.9311007735538372
Exclamatory,Présentation du Sujet,0.010975550668276084,0.9182242424884769
Passive,Structure,0.011671689937889033,0.9130571252017765
Conditional,La conclusion,0.011891045168375613,0.9114296914496529
Passive,Concision,0.015533667049095116,0.8844628739653819
Interrogative,Créativité du discours,0.016627137007195685,0.8763919517499014
Interrogative,La conclusion,0.018733142388682844,0.8608837296939333
Conditional,Niveau de Langue,0.01886278548335591,0.8599307209450877
Exclamatory,Global,0.020203862073503755,0.8500844492966435
Imperative,Discours,0.02074167283175217,0.8461421657879122
Declarative,Présentation du Sujet,0.02321793454073401,0.8280408191036557
Exclamatory,La conclusion,0.02428110351125925,0.8202959866451591
Declarative,Niveau de Langue,0.024493144227918734,0.8187533732084654
Conditional,Métaphore,0.028716824005183775,0.7881767577014789
Imperative,Redondance,0.029232562343281573,0.7844640386472794
Interrogative,Discours,0.03261558192425762,0.7602331881028637
Relative,La conclusion,0.03455757481545747,0.7464257866446287
Conditional,Voix Passive,0.03486761848316717,0.7442286630248949
Declarative,Global,0.03550452189524785,0.7397216794639297
Imperative,Concision,0.03637691894048685,0.7335625058553847
