ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
BOD01,0.0523809523809523,0.0412698412698412,0.0,0.2428571428571428,0.0523809523809523,0.0015873015873015,0.1031746031746031,0.0428571428571428,0.1746031746031746,0.1571428571428571,0.0238095238095238,0.0111111111111111,0.0047619047619047,0,0.0,0.0
ALS10,0.0551523947750362,0.0609579100145137,0.0029027576197387,0.1611030478955007,0.1451378809869375,0.0145137880986937,0.11611030478955,0.0319303338171262,0.1219158200290275,0.11611030478955,0.0275761973875181,0.011611030478955,0.0087082728592162,0,0.0,0.0
ALS11,0.0457227138643067,0.0589970501474926,0.0058997050147492,0.1622418879056047,0.1253687315634218,0.0176991150442477,0.1165191740412979,0.0309734513274336,0.1327433628318584,0.140117994100295,0.0221238938053097,0.0176991150442477,0.0044247787610619,0,0.0,0.0
BOD07,0.0312012480499219,0.0889235569422776,0.0031201248049922,0.1450858034321372,0.1466458658346333,0.0093603744149766,0.1045241809672386,0.0312012480499219,0.1201248049921996,0.1060842433697348,0.0436817472698908,0.0156006240249609,0.0109204368174727,0,0.0,0.0140405616224648
SPC04,0.0509745127436281,0.0629685157421289,0.0,0.1589205397301349,0.136431784107946,0.0164917541229385,0.1154422788605697,0.0374812593703148,0.1229385307346326,0.1094452773613193,0.032983508245877,0.025487256371814,0.0029985007496251,0,0.0,0.0
HES08,0.0610119047619047,0.0773809523809523,0.0014880952380952,0.181547619047619,0.09375,0.0014880952380952,0.1160714285714285,0.03125,0.1205357142857142,0.1264880952380952,0.0238095238095238,0.0133928571428571,0.0059523809523809,0,0.0,0.0044642857142857
LDV09,0.0328185328185328,0.0579150579150579,0.0057915057915057,0.2065637065637065,0.0694980694980695,0.0173745173745173,0.1332046332046332,0.025096525096525,0.166023166023166,0.1602316602316602,0.025096525096525,0.0115830115830115,0.0019305019305019,0,0.0,0.0
LYO11,0.0373983739837398,0.0682926829268292,0.0032520325203252,0.1951219512195122,0.1073170731707317,0.0113821138211382,0.0926829268292682,0.0422764227642276,0.1544715447154471,0.1284552845528455,0.0276422764227642,0.016260162601626,0.0032520325203252,0,0.0,0.0
LOR08,0.0435510887772194,0.0787269681742043,0.0016750418760469,0.1758793969849246,0.1139028475711892,0.0033500837520938,0.1072026800670016,0.0552763819095477,0.1273031825795645,0.1139028475711892,0.0318257956448911,0.0201005025125628,0.0117252931323283,0,0.0033500837520938,0.0
PES08,0.0576208178438661,0.0724907063197026,0.0,0.1821561338289963,0.0947955390334572,0.0185873605947955,0.1059479553903345,0.0390334572490706,0.1449814126394052,0.1226765799256505,0.0315985130111524,0.0167286245353159,0.0055762081784386,0,0.0,0.0
BRE14,0.0364238410596026,0.0298013245033112,0.0082781456953642,0.1572847682119205,0.1655629139072847,0.0082781456953642,0.1374172185430463,0.0298013245033112,0.1456953642384106,0.1092715231788079,0.0198675496688741,0.0049668874172185,0.0049668874172185,0,0.0,0.0
UCA07,0.0670103092783505,0.0446735395189003,0.0017182130584192,0.1752577319587628,0.0979381443298969,0.0017182130584192,0.1065292096219931,0.049828178694158,0.1323024054982818,0.1391752577319587,0.0223367697594501,0.0137457044673539,0.0137457044673539,0,0.0,0.0137457044673539
SPC08,0.0572450805008944,0.0554561717352415,0.0017889087656529,0.2021466905187835,0.0894454382826475,0.0,0.1001788908765653,0.0304114490161001,0.1574239713774597,0.146690518783542,0.033989266547406,0.0143112701252236,0.0107334525939177,0,0.0,0.0
LDV08,0.0674740484429065,0.0692041522491349,0.0086505190311418,0.1608996539792387,0.1211072664359861,0.0069204152249134,0.115916955017301,0.0311418685121107,0.129757785467128,0.1211072664359861,0.0294117647058823,0.0224913494809688,0.0034602076124567,0,0.0,0.0
OCM14,0.0438871473354232,0.0924764890282131,0.0031347962382445,0.1614420062695925,0.1269592476489028,0.0094043887147335,0.1144200626959247,0.0438871473354232,0.0909090909090909,0.122257053291536,0.0344827586206896,0.0094043887147335,0.006269592476489,0,0.0,0.0
ALS08,0.0530846484935437,0.0659971305595408,0.0028694404591104,0.1563845050215208,0.1233859397417503,0.0043041606886657,0.127690100430416,0.0157819225251076,0.1319942611190817,0.127690100430416,0.0387374461979913,0.024390243902439,0.0028694404591104,0,0.0,0.0
